storeid,fashion,leisure,stretch,original
1,182,1528,496,2203
2,129,2247,296,1890
3,107,1652,267,2342
4,117,1744,419,2119
5,110,1736,755,1781
6,79,1637,613,2138
7,73,2484,468,1216
8,64,2675,209,1504
9,100,1795,561,1933
10,126,1789,180,2405
11,37,1528,41,1752
12,106,1930,409,2064
13,105,1969,643,1670
14,1,1060,234,955
15,78,2390,406,1428
16,78,1631,3,1634
17,139,1747,486,1997
18,61,1918,303,2220
19,68,1957,587,1812
20,127,2175,319,1747
21,102,2442,481,1364
22,65,2226,188,1782
23,87,2128,327,1813
24,144,2024,503,1785
25,68,1989,595,1881
26,96,1717,863,1843
27,78,2225,454,1693
28,86,1543,713,2041
29,69,1838,333,2090
30,73,1746,274,2249
31,66,2243,254,1949
32,67,1726,269,2442
33,87,2000,340,2056
34,99,1792,500,2002
35,97,2089,461,1733
36,52,2589,279,1480
37,76,1215,828,2312
38,83,1503,13,1836
39,91,1819,270,2276
40,161,1613,709,2005
41,45,1530,791,2056
42,85,1610,632,2072
43,112,2101,186,1940
44,54,1864,768,1786
45,73,2152,348,1835
46,126,1376,800,2179
47,65,1717,6,1584
48,147,1932,382,1870
49,46,1846,485,2033
50,92,2649,162,1510
51,83,2152,534,1649
52,87,2014,787,1507
53,50,1624,380,2286
54,101,2047,468,1878
55,127,1811,317,2023
56,113,1943,367,1952
57,91,2026,394,1922
58,158,2532,258,1478
59,109,1556,719,2010
60,123,1472,1118,1627
61,104,2232,339,1686
62,2,1009,249,992
63,67,1409,884,2038
64,129,2528,304,1540
65,61,1184,426,2715
66,136,2256,307,1658
67,99,1768,643,2004
68,39,1874,659,1754
69,105,1888,254,2105
70,1,1057,227,863
71,84,1698,616,2016
72,66,2019,543,1803
73,93,2525,371,1552
74,102,2248,430,1579
75,77,1544,24,1765
76,81,2564,459,1316
77,197,2055,339,1793
78,76,1394,726,2226
79,52,1959,730,1647
80,106,2418,332,1570
81,122,1369,862,2054
82,63,2146,338,1766
83,128,2093,384,1789
84,59,1798,326,2216
85,41,2049,700,1550
86,67,1918,420,1917
87,135,2446,294,1521
88,109,2165,333,1715
89,63,1813,6,1468
90,89,2116,449,1603
91,61,1656,909,1840
92,65,2597,356,1320
93,4,672,378,1157
94,79,2027,723,1476
95,59,1443,21,1939
96,69,2006,534,1676
97,158,1896,674,1627
98,58,1764,704,1793
99,61,1942,408,1980
100,122,1826,442,2007
101,140,2146,455,1573
102,111,1978,24,1253
103,91,1752,706,1859
104,108,1244,425,2570
105,52,1829,711,1888
106,106,2643,273,1324
107,122,1661,518,2083
108,56,1358,17,1954
109,82,1478,1044,1833
110,79,1945,354,2098
111,81,2000,574,1656
112,90,2025,444,1898
113,48,1442,703,2215
114,88,2016,466,1891
115,72,1872,130,1245
116,77,2105,750,1502
117,79,2519,300,1421
118,83,2817,307,1223
119,62,1813,28,1352
120,110,2013,284,1987
121,78,1616,51,1681
122,104,1695,3,1527
123,114,1441,700,2190
124,127,1804,377,2067
125,83,1736,650,1937
126,129,1792,11,1490
127,77,1701,466,2151
128,83,2070,447,1874
129,92,2169,694,1426
130,106,2468,289,1467
131,105,2159,387,1807
132,135,2075,504,1870
133,53,2110,189,2103
134,64,2064,385,1963
135,95,1903,281,2194
136,101,1793,455,2139
137,98,1475,628,2177
138,101,1510,593,2106
139,68,1771,413,2230
140,106,2196,414,1680
141,109,2317,429,1605
142,105,1627,400,2275
143,170,2219,261,1686
144,84,1714,313,2224
145,74,1401,698,2130
146,67,1365,634,2286
